sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1
1,1,0,0,0,0,1,1
1,1,0,0,0,0,1,1
1,1,0,1,1,1,1,1
2,1,0,1,1,1,3,1
2,1,1,2,2,1,5,4
2,1,1,2,2,1,6,5
2,1,1,3,4,2,6,7
2,1,1,4,4,2,7,7
2,1,4,5,4,3,8,9
2,1,4,5,4,3,9,9
2,2,4,5,4,3,11,11
2,2,4,5,4,4,12,11
2,2,6,7,6,4,12,13
2,2,7,8,6,4,14,15
3,2,7,8,7,5,15,15
3,3,8,11,7,6,17,17
3,3,9,12,7,6,17,18
4,3,11,13,8,6,19,19
4,4,12,15,9,7,19,20
4,4,13,15,9,7,20,21
5,5,13,17,10,7,21,22
6,5,15,19,11,7,22,24
6,5,16,19,12,8,23,24
6,5,18,21,12,8,24,25
6,5,20,21,13,8,25,28
6,5,20,22,13,8,25,28
6,5,21,23,13,8,25,29
6,5,21,23,16,8,25,29
6,5,22,23,17,9,25,30
10,7,22,23,17,9,25,30
11,7,22,23,17,9,25,30
13,8,24,26,18,9,26,32
14,9,24,26,18,9,28,33
15,9,25,28,20,9,31,36
16,10,26,29,20,9,31,38
16,10,27,30,21,9,33,40
17,10,27,31,23,9,36,44
19,11,28,31,24,10,36,46
21,12,29,34,25,11,37,47
22,12,32,35,26,12,41,50
22,12,33,35,26,13,41,52
22,12,34,36,29,16,41,53
23,12,35,36,29,16,42,53
24,12,36,36,29,17,42,53
25,12,36,36,31,17,42,53
26,12,36,36,34,17,44,54
26,12,37,37,34,17,44,56
26,12,37,37,34,17,44,56
29,12,37,37,34,18,44,56
31,13,37,37,34,18,44,56
32,13,39,38,34,18,46,59
33,13,40,38,34,18,48,61
33,13,40,38,34,18,49,62
33,13,42,38,34,18,50,62
33,13,43,39,34,18,50,63
33,13,43,40,34,19,50,64
33,13,45,41,35,20,50,66
35,13,45,41,36,20,50,67
37,15,45,41,36,21,51,67
39,16,46,42,36,21,54,68
39,16,48,43,36,22,55,69
39,16,48,43,38,22,57,71
39,16,49,43,40,22,57,71
39,16,49,43,42,23,57,71
39,16,49,43,43,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
39,16,49,43,44,24,57,71
